# time 	 <x**4> 	 <x**2> 
246	91849.2	203.852
247	97098.2	206.298
248	99487.4	209.211
249	101920	211.323
250	102758	214.027
251	108904	216.359
252	114789	221.143
253	114092	221.801
254	117916	222.962
255	122544	225.781
256	120224	224.63
257	119239	222.132
258	121228	222.229
259	127364	227.178
260	130504	228.237
261	133500	230.662
262	136169	232.134
263	137232	231.413
264	141995	232.678
265	143279	233.301
266	144777	233.801
267	150586	238.687
268	155609	239.874
269	154715	237.69
270	157774	238.726
271	158644	241.025
272	159460	241.483
273	173049	248.98
274	174271	245.701
275	170592	245.867
276	175648	247.652
277	184272	249.27
278	191994	251.48
279	197225	253.6
280	202987	255.529
281	203377	255.975
282	193423	248.626
283	201741	251.088
284	201178	254.209
285	207778	256.524
286	217973	257.943
287	220522	259.636
288	215559	256.642
289	223650	260.081
290	216586	257.694
291	219080	258.49
292	221007	259.72
293	218860	261.313
294	217048	260.993
295	218246	260.413
296	210218	254.784
297	214277	253.726
298	209900	252.728
299	202644	249.423
300	206519	253.223
301	204917	253.372
302	203339	253.366
303	213178	258.974
304	212682	258.939
305	215101	261.64
306	213156	261.774
307	214658	265.399
308	220208	268.718
309	224495	271.608
310	229289	275.476
311	225965	274.266
312	221144	271.963
313	219321	269.388
314	214225	267.817
315	217937	268.645
316	223170	268.899
317	222410	268.765
318	219436	267.853
319	217655	265.487
320	213975	264.975
321	225065	273.812
322	232050	277.51
323	231721	274.628
324	236379	275.49
325	229700	273.9
326	230476	274.314
327	236276	275.531
328	249922	281.205
329	252751	281.142
330	254893	282.131
331	256712	283.485
332	260589	285.626
333	255991	281.778
334	257076	282.519
335	269858	289.649
336	272145	290.998
337	283878	297.972
338	279603	295.916
339	280818	297.595
340	296134	304.957
341	303282	307.988
342	302718	307.017
343	288858	304.452
344	291198	308.036
345	288515	305.317
346	292262	305.583
347	292503	304.686
348	290205	303.157
349	298434	308.286
350	289172	304.597
351	281394	300.151
352	290869	300.291
353	305235	305.579
354	302868	302.963
355	315140	307.83
356	307630	305.442
357	300608	301.986
358	314975	310.378
359	313077	309.296
360	322835	312.573
361	326701	313.582
